task,model,cv,roc_auc,pr_auc,brier,balanced_accuracy_05,f1_05,precision_05,recall_05
loss,RF,spatial,0.8734965498584539,0.3697327977646968,0.032566536987156974,0.71453496959274,0.39146991622239147,0.34543010752688175,0.45166959578207383
loss,RF,random,0.9421539058283892,0.6525410048800253,0.027628922216492605,0.8362905858646754,0.5664989216391085,0.4793187347931874,0.6924428822495606
loss,XGB,spatial,0.8786840160990022,0.45566872018688576,0.07024097984813223,0.7852459686229472,0.27840481565086533,0.17711823839157492,0.6502636203866432
loss,XGB,random,0.9453351543353885,0.6413736254854098,0.0651447662278554,0.8626299517158793,0.34640274076893796,0.22108843537414966,0.7996485061511424
gain,RF,spatial,0.97544244121136,0.8192795588615364,0.03879377134895456,0.9134492097550764,0.7303946694003075,0.6277533039647577,0.8731617647058824
gain,RF,random,0.9867710631337122,0.8904927603261811,0.02990725893599698,0.9339911662721481,0.7863430248066151,0.6962683042040624,0.9031862745098039
gain,XGB,spatial,0.9765600090980822,0.8121533377359716,0.05481785625781937,0.928910346988508,0.6721094439541041,0.5251724137931034,0.9332107843137255
gain,XGB,random,0.9852791051405506,0.8829165790986075,0.04828508299155603,0.9387217664235143,0.694207453973956,0.5478384124734231,0.9473039215686274
