municipality,persistent_mangrove_model_domain_ha,high_loss_score_area_top10pct_ha,high_loss_share_of_persistent_domain_pct,median_loss_score,stable_nonmangrove_candidate_within500m_ha,high_gain_analog_area_top10pct_ha,high_gain_share_of_candidate_domain_pct,median_gain_score
Jolo,0.0,0.0,,,28.802175645969808,0.8000588186405599,2.7777721671956734,0.011159874498844147
Luuk,829.7457047461464,114.41848600539117,13.789584610190483,0.13903282582759857,610.5290463138931,80.01461936568246,13.10578421268827,0.008542735129594803
Omar,385.68850867590527,20.80365663013309,5.393901078762614,0.12520182132720947,1141.8341220664597,117.62122266614438,10.301077923059154,0.001255852752365172
Pata,465.823858263012,33.61562813244685,7.216381801008333,0.1197327971458435,1002.8859495756053,39.218849824855475,3.9105991904116166,0.0009851012146100402
Lugus,12.008783584865183,12.008783584865183,99.99999999999999,0.9558683633804321,408.2987054158084,24.81846916104331,6.0785079236948265,0.0011881969403475523
Siasi,381.9724281106867,16.81608373225033,4.402433917920752,0.052682969719171524,1548.687231599456,88.08308335926756,5.6875966665197435,0.0027274093590676785
Tapul,1958.993718566292,2.401588338150084,0.122592957567404,0.014908330515027046,225.7578458769642,48.03485058953241,21.277156682169498,0.002648774301633239
Parang,51.21606496394724,2.4007447393834593,4.687483782819759,0.11598362028598785,376.91969339571597,6.402000029491633,1.698505050721873,0.00048309878911823034
Indanan,69.60712595388596,5.600590930228679,8.046002264105857,0.1621900200843811,307.2310684062884,8.000744141701608,2.6041455322875313,0.00035073605249635875
Pandami,656.4706440797947,21.620509176929293,3.293446458254925,0.028416838496923447,1032.1532469958552,108.08947383209541,10.472231148494314,0.005109090358018875
Patikul,0.8000378152586519,0.8000378152586519,100.0,0.6600363850593567,28.80143375681862,0.0,0.0,0.000354616844560951
Talipao,814.6849393560021,152.0515174501881,18.66384292931484,0.1485154628753662,745.0420438284197,8.802995061779766,1.1815433953962284,0.0012246292317286134
Tongkil,5409.528960941078,891.3440409995951,16.47729492596211,0.06756259500980377,2170.561284119286,296.0293268686622,13.638376812234412,0.020350996404886246
Maimbung,124.03878666616602,68.82141637660564,55.48378714944171,0.45391249656677246,535.364339766357,5.601701932000368,1.0463345269587914,0.0002426759892841801
Pangutaran,4013.64551109447,191.19201180201622,4.763550026366943,0.07702931016683578,2381.896318801997,390.3581696656845,16.38854582310366,0.0310109443962574
Old Panamao,100.01744159603716,6.400865188691766,6.399748970328968,0.029940512031316757,462.4864625518724,4.8005486823640755,1.0379868539018364,0.000661483034491539
Panglima Estino,377.70316653423237,1.6004489267289639,0.42373193251582403,0.05065126717090607,538.5402248743981,12.803439271080492,2.3774341599212194,0.0010408126981928945
Kalingalan Caluang,351.3355702535853,6.402464484220744,1.8223217420313018,0.04066747799515724,713.0565216139078,40.81548375161365,5.7240180146215165,0.0014989582123234868
Hadji Panglima Tahil,1246.1059352860211,176.76678480422348,14.185534295176103,0.1651914417743683,363.10533282153085,182.34955123918724,50.219463818454436,0.28744304180145264
