task,model,feature,mean_abs_shap,shap_value_spearman_rho,mean_shap_low_quartile,mean_shap_high_quartile
loss,xgb,elevation_m,0.4890426695346832,0.3438678806483317,-0.3095079362392425,0.2769498527050018
loss,xgb,slope_deg,0.1855563968420028,0.6844472132378447,-0.2809821665287018,0.1235008761286735
loss,xgb,water_occurrence_pct,0.1315868645906448,0.3129904395587693,-0.104610189795494,-0.0726575776934623
loss,xgb,water_seasonality_months,1.0013048648834229,0.5115483121661047,-0.8233832120895386,-0.486713171005249
loss,xgb,rain_mean_annual_mm,0.4735927879810333,0.2148341052371415,-0.3933802247047424,-0.039287444204092
loss,xgb,rain_interannual_cv_pct,0.6593791246414185,-0.2765924684318989,-0.2820495963096618,-1.2477095127105713
loss,xgb,rain_trend_mm_per_year,0.4217894673347473,-0.2413062376295946,-0.2191808968782425,-0.7503476142883301
loss,xgb,built_fraction_2000,0.0606775395572185,0.231537932220257,-0.0463965833187103,-0.0304267890751361
gain,xgb,elevation_m,3.368936777114868,-0.9397105237647612,1.781733512878418,-6.281722068786621
gain,xgb,slope_deg,0.2109193056821823,-0.3949802313769554,0.1005594283342361,-0.0405158214271068
gain,xgb,water_occurrence_pct,0.9008140563964844,0.5843857586048044,-0.7397872805595398,0.7442244291305542
gain,xgb,water_seasonality_months,0.4303158223628998,-0.47293294497885,0.3538256883621216,0.1918065398931503
gain,xgb,rain_mean_annual_mm,0.2424338310956955,-0.3092755122563671,0.0760852769017219,-0.350827157497406
gain,xgb,rain_interannual_cv_pct,0.2716613411903381,0.2429824009250914,-0.0203436110168695,0.2513706386089325
gain,xgb,rain_trend_mm_per_year,0.1563314497470855,0.0371010803393974,-0.0511560663580894,0.0452392287552356
gain,xgb,built_fraction_2000,0.2281636744737625,-0.5026677267658398,0.1052923053503036,-0.03707917034626
