task,block_m,roc_auc,pr_auc
loss,3000,0.8382534153371468,0.470494348751814
loss,5000,0.8786840160990022,0.4556687201868857
loss,7500,0.8530638596092887,0.4312474037889153
loss,10000,0.857335482846508,0.3960784931937801
gain,3000,0.9782324861918488,0.8355895530019748
gain,5000,0.9765600090980822,0.8121533377359716
gain,7500,0.9772923007144276,0.832288345813839
gain,10000,0.9769922518692667,0.8342026737770188
